Project,Expense,Budget Line,Amount,Date,Vendor Name,Start Date,End Date
Expansion Project,Moving Services,Operating Expense,6800.00,2023-10-06,Relocation Experts,2023-10-01,2023-10-15
Expansion Project,Marketing Materials,Advertising,4500.00,2023-11-18,BrandWorks Agency,2023-11-15,2023-12-15
Expansion Project,Staff Holiday Event,Human Resources,7200.00,2023-12-12,EventSpace Venues,2023-12-12,2023-12-12
Product Development,R&D Staffing,Human Resources,22500.00,2022-02-05,Specialized Recruiting,2022-02-01,2022-04-30
Product Development,Prototype Materials,Operating Expense,13600.00,2022-04-18,Materials Supply Co.,2022-04-15,2022-05-31
Product Development,Testing Equipment,Capital Expenditure,28900.00,2022-06-22,Test Systems Inc.,2022-06-15,2022-07-15
Product Development,Software Development Tools,Software,8700.00,2022-08-14,Developer Suite Inc.,2022-08-14,2023-08-13
Product Development,Quality Assurance Services,Professional Services,15300.00,2022-10-10,Quality Assurance Partners,2022-10-01,2022-12-31
Product Development,Patent Research,Legal,9800.00,2022-12-15,IP Research Associates,2022-12-01,2023-01-31
Product Development,Regulatory Consultation,Professional Services,12400.00,2023-02-08,Compliance Consultants,2023-02-01,2023-04-30
Product Development,User Testing,Research,8900.00,2023-04-15,User Experience Labs,2023-04-10,2023-05-10
Product Development,Product Design Services,Professional Services,17800.00,2023-06-10,Design Innovation Partners,2023-06-01,2023-08-31
Product Development,Manufacturing Setup,Operating Expense,32500.00,2023-08-22,Manufacturing Solutions,2023-08-15,2023-10-31
Product Development,Packaging Design,Content Creation,7600.00,2023-10-05,Package Design Studio,2023-10-01,2023-11-15
Product Development,Market Testing,Research,14200.00,2023-12-10,Market Test Partners,2023-12-01,2024-01-31
Product Development,Launch Event Planning,Events,18600.00,2024-02-18,Launch Event Specialists,2024-02-15,2024-04-30 
